"Elementary School","Address","Neighborhood","School Hours","Earliest Drop Off Time","After School Hours","Grades","Phone","Website","Contact Page","Provides Before Care","Provides After Care","Before Care Start Time","Before Care Provider","Before Care Info","After Care End Time","After Care Provider","After Care Info","lat","lon"
"CATALPA","5252 N LONG AVE","Jefferson Park","9:00 AM TO 4:00 PM","7:00AM","5:30PM","PK","(773)  534-8380","https://catalpa.cps.edu","https://catalpa.cps.edu/apps/contact","True","True","","","""We offer full day preschool programs for four year olds and half day for three year olds throughout the city of Chicago from 9am-4pm with before and after care options."" <a href=""https://catalpa.cps.edu/cps.edu/catalpa/parent-information/beforeaftercare"">[1]</a>
""We offer full day preschool programs for four year olds and half day for three year olds throughout the city of Chicago from 9am-4pm with before and after care options."" <a href=""https://catalpa.cps.edu/cps.edu/catalpa/parent-information/volunteer-information"">[2]</a>
""We offer full day preschool programs for four year olds and half day for three year olds throughout the city of Chicago from 9am-4pm with before and after care options."" <a href=""https://catalpa.cps.edu/cps.edu/catalpa/our-team"">[3]</a>
""We offer full day preschool programs for four year olds and half day for three year olds throughout the city of Chicago from 9am-4pm with before and after care options."" <a href=""https://catalpa.cps.edu/cps.edu/catalpa/school-naming-process"">[4]</a>
""We offer full day preschool programs for four year olds and half day for three year olds throughout the city of Chicago from 9am-4pm with before and after care options."" <a href=""https://catalpa.cps.edu/cps.edu/catalpa/parent-information/parent-commitments"">[5]</a>
""We offer full day preschool programs for four year olds and half day for three year olds throughout the city of Chicago from 9am-4pm with before and after care options."" <a href=""https://catalpa.cps.edu/cps.edu/catalpa/parent-information/breakfastlunch-menus"">[6]</a>
""We offer full day preschool programs for four year olds and half day for three year olds throughout the city of Chicago from 9am-4pm with before and after care options."" <a href=""https://catalpa.cps.edu/cps.edu/catalpa/parent-information/enrollment-information"">[7]</a>
""We offer full day preschool programs for four year olds and half day for three year olds throughout the city of Chicago from 9am-4pm with before and after care options."" <a href=""https://catalpa.cps.edu/cps.edu/catalpa/home"">[8]</a>
""We offer full day preschool programs for four year olds and half day for three year olds throughout the city of Chicago from 9am-4pm with before and after care options."" <a href=""https://catalpa.cps.edu"">[9]</a>
","","","""We offer full day preschool programs for four year olds and half day for three year olds throughout the city of Chicago from 9am-4pm with before and after care options."" <a href=""https://catalpa.cps.edu/cps.edu/catalpa/parent-information/beforeaftercare"">[1]</a>
""We offer full day preschool programs for four year olds and half day for three year olds throughout the city of Chicago from 9am-4pm with before and after care options."" <a href=""https://catalpa.cps.edu/cps.edu/catalpa/parent-information/volunteer-information"">[2]</a>
""We offer full day preschool programs for four year olds and half day for three year olds throughout the city of Chicago from 9am-4pm with before and after care options."" <a href=""https://catalpa.cps.edu/cps.edu/catalpa/our-team"">[3]</a>
""We offer full day preschool programs for four year olds and half day for three year olds throughout the city of Chicago from 9am-4pm with before and after care options."" <a href=""https://catalpa.cps.edu/cps.edu/catalpa/school-naming-process"">[4]</a>
""We offer full day preschool programs for four year olds and half day for three year olds throughout the city of Chicago from 9am-4pm with before and after care options."" <a href=""https://catalpa.cps.edu/cps.edu/catalpa/parent-information/parent-commitments"">[5]</a>
""We offer full day preschool programs for four year olds and half day for three year olds throughout the city of Chicago from 9am-4pm with before and after care options."" <a href=""https://catalpa.cps.edu/cps.edu/catalpa/parent-information/breakfastlunch-menus"">[6]</a>
""We offer full day preschool programs for four year olds and half day for three year olds throughout the city of Chicago from 9am-4pm with before and after care options."" <a href=""https://catalpa.cps.edu/cps.edu/catalpa/parent-information/enrollment-information"">[7]</a>
""We offer full day preschool programs for four year olds and half day for three year olds throughout the city of Chicago from 9am-4pm with before and after care options."" <a href=""https://catalpa.cps.edu/cps.edu/catalpa/home"">[8]</a>
""We offer full day preschool programs for four year olds and half day for three year olds throughout the city of Chicago from 9am-4pm with before and after care options."" <a href=""https://catalpa.cps.edu"">[9]</a>
","41.976513"," -87.76357"
"CATHER","2908 W WASHINGTON BLVD","East Garfield Park","07:45 AM-02:45 PM","7:30 AM","03:00PM -5:00PM","PK-8","(773) 534-6780","https://cather.cps.edu","https://cather.cps.edu/apps/contact","","True","","","","","","""After-school programming begins on Monday, 9/11"" <a href=""https://www.cather.cps.edu/apps/pages/index.jsp?uREC_ID=394509&type=d"">[1]</a>
","41.882958"," -87.699193"
"CHALMERS","2745 W ROOSEVELT RD","North Lawndale","08:45 AM-03:45 PM","8:15 AM","4:00 PM - 5:30 PM","PK-8","(773) 534-1720","https://chalmerssoe.org","https://chalmerssoe.org/apps/contact","","True","","","","","","""Listed below are our after school programs:"" <a href=""https://www.chalmerssoe.org/apps/pages/index.jsp?uREC_ID=313785&type=d"">[1]</a>
","41.866443"," -87.695265"
"CHAPPELL","2135 W FOSTER AVE","Lincoln Square","9 AM - 4 PM","8:45 AM (TUITION-BASED CHILDCARE FROM 7 AM)","4:00 PM (TUITION-BASED CHILDCARE UNTIL 6:00 PM)","PK-8","(773) 534-2390","https://chappellelementaryschool.org","https://chappellelementaryschool.org/apps/contact","True","True","Before school","Band for Today, Piano classes","""Beginner Band meets on Fridays before school, and the Senior Band meets on Thursdays before school. Piano classes are on Tuesdays before school."" <a href=""https://chappellelementaryschool.org/apps/pages/index.jsp?uREC_ID=4295473&type=d&pREC_ID=2552645"">[1]</a>
""**Before and After Care Registration Registration is open!**"" <a href=""https://chappellelementaryschool.org/apps/news"">[2]</a>
""**Before and After Care Registration Registration is open!**"" <a href=""https://chappellelementaryschool.org/apps/news/category/21252"">[3]</a>
""**Before and After Care Registration Registration is open!**"" <a href=""https://chappellelementaryschool.org/apps/news/"">[4]</a>
""Before and After Care Registration Registration is open!"" <a href=""https://chappellelementaryschool.org/apps/news/article/1959239"">[5]</a>
""Before and After Care Registration Registration is open!"" <a href=""https://chappellelementaryschool.org/apps/news/"">[6]</a>
","After school","Drama Club, Chappell Choir, Ballroom Dance","""Drama Club is an afterschool group that meets bi-weekly beginning mid December. Chappell Choir is an afterschool ensemble that meets weekly in Fall and again in Spring."" <a href=""https://chappellelementaryschool.org/apps/pages/index.jsp?uREC_ID=4295473&type=d&pREC_ID=2552645"">[1]</a>
""Media and Technology is an after school program for grades 5-8."" <a href=""https://chappellelementaryschool.org/apps/pages/index.jsp?uREC_ID=4295473&type=d&pREC_ID=2561819"">[2]</a>
""**Before and After Care Registration Registration is open!**"" <a href=""https://chappellelementaryschool.org/apps/news"">[3]</a>
""""we were able to secure partnerships with 5 OST vendors to provide fee based programs here at Chappell; Band for Today, Goodseeds Yoga, iCook, Young Rembrandts, and Dance to Evolve."""" <a href=""https://chappellelementaryschool.org/apps/news/article/1967104"">[4]</a>
""**Before and After Care Registration Registration is open!**"" <a href=""https://chappellelementaryschool.org/apps/news/category/21252"">[5]</a>
""**Before and After Care Registration Registration is open!**"" <a href=""https://chappellelementaryschool.org/apps/news/"">[6]</a>
""""we were able to secure partnerships with 5 OST vendors to provide fee based programs here at Chappell; Band for Today, Goodseeds Yoga, iCook, Young Rembrandts, and Dance to Evolve."""" <a href=""https://chappellelementaryschool.org/apps/news/article/1967104"">[7]</a>
","41.975902"," -87.683269"
"CHASE","2021 N POINT ST","Logan Square","08:15 AM-03:15 PM","8:00","3:15 PM - 4:45 PM","PK-8","(773) 534-4185","https://chase.cps.edu","https://chase.cps.edu/apps/contact","","True","","","","5:00 PM","Paid After-Care","""Paid After-Care | 3:15 PM | 5:00 PM | 105 min"" <a href=""https://www.chase.cps.edu/apps/bell_schedules/"">[1]</a>
","41.918001"," -87.694568"
"CHAVEZ","4747 S MARSHFIELD AVE","New City","07:45 AM-02:45 PM","7:30","2:45 - 7:30","PK-8","(773) 535-4600","https://chavez.cps.edu","","","True","","","","7:30 p.m.","","""After school programming until 7:30 p.m. Mon - Fri"" <a href=""https://chavez.cps.edu"">[1]</a>
","41.807151"," -87.666043"
"CHICAGO ACADEMY ES","3400 N AUSTIN AVE","Dunning","08:00 AM-03:00 PM","07:45 AM","3:00PM-5:30PM","PK-8","(773) 534-3885","http://www.chicagoacademy.org","http://www.chicagoacademy.org/apps/contact","","","","","","","","","41.943064"," -87.778193"
"CHICAGO WORLD LANGUAGE ACADEMY","1340 W HARRISON ST","Near West Side","7:45AM - 2:45PM","","","K-8","(773) 534-7000","https://www.chicagoworldlanguageacademy.cps.edu","https://www.chicagoworldlanguageacademy.cps.edu/apps/contact","True","True","7:30 a.m.","CWLA","""Student arrival can begin at 7:30 a.m. at our Main Entrance on Congress Pkwy. Please do not send students prior to 7:30 a.m. as there is no adult supervision."" <a href=""https://www.chicagoworldlanguageacademy.cps.edu/CWLA Student and Parent Handbook.pdf"">[1]</a>
","2:45 p.m.","OST and Right at School","""2:45 p.m. OST and Right at School students"" <a href=""https://www.chicagoworldlanguageacademy.cps.edu/CWLA Student and Parent Handbook.pdf"">[1]</a>
","41.874307"," -87.66099"
"CHOPIN","2450 W RICE ST","West Town","08:45 AM-03:45 PM","8:10 AM","","PK-8","(773) 534-4080","https://chopin.cps.edu","https://chopin.cps.edu/apps/contact","","True","","","","","Merit School of Music","""The Merit School of Music, through their Merit Music in Communities program, supports the students at Chopin by providing two hours of instruction after school, Monday through Friday."" <a href=""https://www.chopin.cps.edu/apps/video/watch.jsp?v=10051290"">[1]</a>
","41.896721"," -87.688943"
"CHRISTOPHER","5042 S ARTESIAN AVE","Gage Park","7:30 AM-2:30 PM","","","K-8","(773) 535-9375","https://www.christopherschool.org","https://www.christopherschool.org/apps/contact","","","","","","","","","41.801666"," -87.685613"
"CLAREMONT","2300 W 64TH ST","Chicago Lawn","9:00 AM-4:00 PM","","","PK-8","(773) 535-8110","https://claremontcps.org","https://claremontcps.org/apps/contact","","","","","","","","","41.777518"," -87.681067"
"CLARK ES","1045 S MONITOR AVE","Austin","08:30 AM-03:30 PM","","","PK-8","(773) 534-6225","https://georgerogersclarkes.org","https://georgerogersclarkes.org/apps/contact","","","","","","","","","41.86782"," -87.770423"
"CLAY","13231 S BURLEY AVE","Hegewisch","8:00 AM-3:00 PM","","","PK-8","(773) 535-5600","http://clay.cps.edu","","","","","","","","","","41.654566"," -87.544619"
"CLEVELAND","3121 W BYRON ST","Irving Park","08:00 AM-03:00 PM","7:45AM","","PK-8","(773) 534-5130","https://clevelandschool.org","https://clevelandschool.org/apps/contact","","True","","","","6:00 pm","Neighborhood Boys and Girls Club, NBGC","""Custom-fit to meet your family’s needs; after-care students participate in project-based activities, finish homework assignments, and get daily physical exercise."" <a href=""https://clevelandschool.org/parents-students/"">[1]</a>
""Registration for the **Neighborhood Boys & Girls Club Afterschool Program** for the 2023-2024 school year is open!"" <a href=""https://clevelandschool.org/"">[2]</a>
""The Neighborhood Boys & Girls Club is a program that stresses teamwork, sportsmanship, responsibility, leadership training and conflict resolution for all school children."" <a href=""https://clevelandschool.org/neighborhood-boys-and-girls-club-nbgc/"">[3]</a>
""3:00 pm – 6:00 pm – After school care for K-8"" <a href=""https://clevelandschool.org/student-resources/"">[4]</a>
","41.95205"," -87.706448"
"CLINTON","6110 N FAIRFIELD AVE","West Ridge","08:30 AM-03:30 PM","","","PK-8","(773) 534-2025","https://clinton.cps.edu","https://clinton.cps.edu/apps/contact","True","True","","Clinton Elementary School","""Through the CPS Community Schools Initiative and our partnership with Loyola University, Clinton offers a wide variety of Out-of-School Time Programs."" <a href=""https://www.clinton.cps.edu/pdfs/Clinton Parent Handbook SY25.pdf"">[1]</a>
","","Clinton Elementary School","""Through the CPS Community Schools Initiative and our partnership with Loyola University, Clinton offers a wide variety of Out-of-School Time Programs."" <a href=""https://www.clinton.cps.edu/pdfs/Clinton Parent Handbook SY25.pdf"">[1]</a>
","41.992549"," -87.698366"
"CLISSOLD","2350 W 110TH PL","Morgan Park","07:45 AM-02:45 PM","7:30","NOT AVAILABLE","PK-8","(773) 535-2560","http://www.clissold-school.org","http://www.clissold-school.org/apps/contact","","","","","","","","","41.693034"," -87.680903"
"COLEMON","1441 W 119TH ST","West Pullman","07:45 AM-02:45 PM","","","PK-8","(773) 535-3975","https://colemon.cps.edu","https://colemon.cps.edu/apps/contact","","","","","","","","","41.677513"," -87.658117"
"COLES","8441 S YATES BLVD","South Chicago","08:00 AM-03:00 PM","","","PK-8","(773) 535-6550","https://colesacademy.cps.edu","https://colesacademy.cps.edu/contact.html","","","","","","","","","41.741421"," -87.565975"
"COLUMBIA EXPLORERS","4520 S KEDZIE AVE","Brighton Park","08:00 AM-03:00 PM","","","PK-8","(773) 535-4050","https://columbiaexplorers.org","https://columbiaexplorers.org/apps/contact","","","","","","","","","41.811076"," -87.704204"
"COOK","8150 S BISHOP ST","Auburn Gresham","08:45 AM - 03:45 PM","8:40 AM","DUE TO COVID-19, AFTERSCHOOL IS POSTPONED","PK-8","(773) 535-3315","https://cookelementary.org","https://cookelementary.org/apps/contact","True","True","8:30 AM","","""Earliest Drop Off | 8:30 AM | — | —"" <a href=""https://www.cookelementary.org/apps/bell_schedules/"">[1]</a>
","6:00 PM","","""After School Hours | 3:45 PM | 6:00 PM | 135 min"" <a href=""https://www.cookelementary.org/apps/bell_schedules/"">[1]</a>
","41.745245"," -87.65978"
"COONLEY","4046 N LEAVITT ST","North Center","08:45 AM-03:45 PM","8:30AM","","K-8","(773) 534-5140","http://coonley.cps.edu","http://coonley.cps.edu/apps/contact","True","True","","","""School Hours: 8:45 a.m.-3:45 p.m. (with before and after school services available)"" <a href=""https://www.coonley.cps.edu/apps/pages/index.jsp?uREC_ID=567459&type=d"">[1]</a>
","","","""School Hours: 8:45 a.m.-3:45 p.m. (with before and after school services available)"" <a href=""https://www.coonley.cps.edu/apps/pages/index.jsp?uREC_ID=567459&type=d"">[1]</a>
","41.955561"," -87.683771"
"COOPER","1624 W 19TH ST","Lower West Side","7:45AM - 2:45PM","7:45 AM","3:00 - 4:30 PM","PK-8","(773) 534-7205","http://cooper.cps.edu","","","","","","","","","","41.856039"," -87.667233"
"CORKERY","2510 S KILDARE AVE","South Lawndale","8:00 AM-3:00 PM","7:50","","PK-8","(773) 534-1650","https://corkery.cps.edu","https://corkery.cps.edu/contact.html","","","","","","","","","41.84561"," -87.731199"
"COURTENAY","4420 N BEACON ST","Uptown","07:30 AM-02:30 PM","7:30 AM","","PK-8","(773) 534-5790","http://courtenay.cps.edu","http://courtenay.cps.edu/apps/contact","","","","","","","","","41.962316"," -87.663859"
"CROWN","2128 S SAINT LOUIS AVE","North Lawndale","08:00 AM-03:00 PM","7:30 AM","3:00 PM-4:30 PM","K-8","(773) 534-1680","https://crown.cps.edu","https://crown.cps.edu/apps/contact","","","","","","","","","41.852671"," -87.712476"
"CUFFE","8324 S RACINE AVE","Auburn Gresham","07:45 AM-02:45 PM","7:30","","PK-8","(773) 535-8250","https://cuffeacademy.org","https://cuffeacademy.org/apps/contact","","","","","","","","","41.742459"," -87.653639"
"CULLEN","10650 S EBERHART AVE","Roseland","08:30 AM-03:30 PM","","","K-8","(773) 535-5375","https://counteecullenelementary.org","","","","","","","","","","41.700343"," -87.61125"
"CURTIS","32 E 115TH ST","Roseland","08:45 AM-03:45 PM","8:40","","PK-8","(773) 535-5050","https://curtissoe.org/","https://curtissoe.org/apps/contact","","","","","","","","","41.685426"," -87.621658"
"DAISY BATES","8546 S CREGIER AVE","Avalon Park","07:45 AM-02:45 PM","","","PK-8","(773) 535-6300","https://caldwell-academy.org","","","","","","","","","","41.739234"," -87.580735"
"DALEY","5024 S WOLCOTT AVE","New City","08:00 AM-03:00 PM","7:45 AM","","PK-8","(773) 535-9091","https://rjdaley.org","https://rjdaley.org/apps/contact","","","","","","","","","41.802351"," -87.672212"
"DARWIN","3116 W BELDEN AVE","Logan Square","08:00 AM-03:00 PM","","3:00 PM-6:00 PM","PK-8","(773) 534-4110","https://www.darwin.cps.edu","https://www.darwin.cps.edu/apps/contact","","True","","","","3:00 PM","Music House","""Yes, we are partnered with a program called Music House which offers afterschool programming for Pre-K thru 2nd grade students."" <a href=""https://www.darwin.cps.edu/apps/pages/index.jsp?uREC_ID=490043&type=d"">[1]</a>
""Due to significant federal funding reductions, Darwin’s afterschool programming budget has been reduced from $140,000 last year to $19,000 for this school year."" <a href=""https://www.darwin.cps.edu/apps/news/"">[2]</a>
","41.923331"," -87.705419"
"DAVIS M","6740 S PAULINA ST","West Englewood","07:45 AM-02:45 PM","7:40 AM","","PK-8","(773) 535-9120","https://milesdavismagnet.org","https://milesdavismagnet.org/apps/contact","","True","","","","","","""Please indicate your interest in participating in an academic after school program at MDMA."" <a href=""https://www.milesdavismagnet.org/apps/forms2/?f=33316"">[1]</a>
","41.771229"," -87.666536"
"DAVIS N","3014 W 39TH PL","Brighton Park","08:00 AM-03:00 PM","","3:00 PM - 6:00 PM","PK-8","(773) 535-4540","http://nathansdavis.cps.edu","http://nathansdavis.cps.edu/apps/contact","","","","","","","","","41.821859"," -87.700208"
"DAWES","3810 W 81ST PL","Ashburn","08:00 AM-03:00 PM","7:50 AM","3:00 PM - 5:30 PM","PK-8","(773) 535-2350","https://dawes.cps.edu","https://dawes.cps.edu/contact.html","","True","","","","6:30pm","Bogan Park","""Dawes will continue to partner with Bogan Park to host after-school programs from 4:30pm to 6:30pm."" <a href=""https://dawes.cps.edu/LSC%2024-25/SY25%20August%20LSC%20Meeting%20Minutes.pdf"">[1]</a>
","41.745086"," -87.717359"
